DATE	VOLUME	TYPE
20220901	9	A
20220901	10	B
20220901	18	C
20220831	3	A
20220831	11	B
20220831	18	C
20220830	3	A
20220830	6	B
20220830	20	C
20220829	6	A
20220829	13	B
20220829	15	C
20220828	3	A
20220828	9	B
20220828	22	C
20220827	7	A
20220827	4	B
20220827	19	C
20220826	5	A
20220826	6	B
20220826	16	C
20220825	3	A
20220825	17	B
20220825	9	C
20220824	4	A
20220824	8	B
20220824	13	C
20220823	6	A
20220823	11	B
20220823	11	C
20220822	9	A
20220822	9	B
20220822	11	C
20220821	3	A
20220821	10	B
20220821	16	C
20220820	1	A
20220820	14	B
20220820	13	C
20220819	4	A
20220819	9	B
20220819	19	C
20220818	5	A
20220818	9	B
20220818	9	C
20220817	5	A
20220817	12	B
20220817	8	C
20220816	5	A
20220816	13	B
20220816	14	C
20220815	6	A
20220815	4	B
20220815	16	C
20220814	4	A
20220814	11	B
20220814	12	C
20220813	6	A
20220813	14	B
20220813	16	C
20220812	6	A
20220812	3	B
20220812	20	C
20220811	5	A
20220811	14	B
20220811	12	C
20220810	5	A
20220810	14	B
20220810	10	C
20220809	6	A
20220809	16	B
20220809	14	C
20220808	8	A
20220808	10	B
20220808	12	C
20220807	7	A
20220807	18	B
20220807	14	C
20220806	5	A
20220806	14	B
20220806	23	C
20220805	9	A
20220805	4	B
20220805	21	C
20220804	3	A
20220804	14	B
20220804	23	C
20220803	11	A
20220803	8	B
20220803	27	C
20220802	7	A
20220802	12	B
20220802	20	C
20220801	8	A
20220801	10	B
20220801	21	C
20220731	6	A
20220731	15	B
20220731	21	C
20220730	6	A
20220730	12	B
20220730	18	C
20220729	9	A
20220729	15	B
20220729	19	C
20220728	4	A
20220728	9	B
20220728	26	C
20220727	8	A
20220727	9	B
20220727	23	C
20220726	2	A
20220726	16	B
20220726	17	C
20220725	9	A
20220725	10	B
20220725	13	C
20220724	7	A
20220724	9	B
20220724	19	C
20220723	6	A
20220723	11	B
20220723	16	C
20220722	9	A
20220722	6	B
20220722	19	C
20220721	10	A
20220721	4	B
20220721	21	C
20220720	0	A
20220720	10	B
20220720	17	C
20220719	5	A
20220719	10	B
20220719	14	C
20220718	3	A
20220718	7	B
20220718	17	C
20220717	15	A
20220717	15	B
20220717	23	C
20220716	5	A
20220716	7	B
20220716	14	C
20220715	6	A
20220715	7	B
20220715	12	C
20220714	14	A
20220714	7	B
20220714	13	C
20220713	1	A
20220713	10	B
20220713	20	C
20220712	7	A
20220712	5	B
20220712	19	C
20220711	5	A
20220711	9	B
20220711	10	C
20220710	5	A
20220710	14	B
20220710	12	C
20220709	5	A
20220709	3	B
20220709	21	C
20220708	6	A
20220708	11	B
20220708	13	C
20220707	5	A
20220707	9	B
20220707	20	C
20220706	4	A
20220706	11	B
20220706	18	C
20220705	7	A
20220705	9	B
20220705	14	C
20220704	6	A
20220704	7	B
20220704	20	C
20220703	5	A
20220703	11	B
20220703	13	C
20220702	16	A
20220702	17	B
20220702	34	C
20220701	4	A
20220701	11	B
20220701	14	C
20220630	9	A
20220630	14	B
20220630	13	C
20220629	8	A
20220629	8	B
20220629	21	C
20220628	9	A
20220628	12	B
20220628	18	C
20220627	8	A
20220627	12	B
20220627	16	C
20220626	12	A
20220626	12	B
20220626	18	C
20220625	11	A
20220625	9	B
20220625	14	C
20220624	6	A
20220624	13	B
20220624	25	C
20220623	10	A
20220623	14	B
20220623	20	C
20220622	5	A
20220622	16	B
20220622	18	C
20220621	17	A
20220621	10	B
20220621	11	C
20220620	7	A
20220620	12	B
20220620	22	C
20220619	4	A
20220619	12	B
20220619	26	C
20220618	11	A
20220618	7	B
20220618	19	C
20220617	7	A
20220617	12	B
20220617	16	C
20220616	3	A
20220616	12	B
20220616	21	C
20220615	11	A
20220615	13	B
20220615	11	C
20220614	6	A
20220614	11	B
20220614	18	C
20220613	5	A
20220613	13	B
20220613	15	C
20220612	7	A
20220612	12	B
20220612	13	C
20220611	5	A
20220611	12	B
20220611	18	C
20220610	6	A
20220610	16	B
20220610	12	C
20220609	7	A
20220609	7	B
20220609	15	C
20220608	3	A
20220608	5	B
20220608	20	C
20220607	9	A
20220607	11	B
20220607	13	C
20220606	8	A
20220606	5	B
20220606	18	C
20220605	6	A
20220605	7	B
20220605	14	C
20220604	7	A
20220604	9	B
20220604	14	C
20220603	7	A
20220603	7	B
20220603	13	C
20220602	8	A
20220602	6	B
20220602	11	C
20220601	5	A
20220601	13	B
20220601	11	C
20220531	8	A
20220531	9	B
20220531	10	C
20220530	6	A
20220530	12	B
20220530	9	C
20220529	8	A
20220529	6	B
20220529	22	C
20220528	5	A
20220528	10	B
20220528	14	C
20220527	3	A
20220527	6	B
20220527	19	C
20220526	3	A
20220526	9	B
20220526	15	C
20220525	10	A
20220525	9	B
20220525	9	C
20220524	4	A
20220524	23	B
20220524	6	C
20220523	9	A
20220523	10	B
20220523	12	C
20220522	11	A
20220522	13	B
20220522	9	C
20220521	8	A
20220521	17	B
20220521	12	C
20220520	8	A
20220520	17	B
20220520	9	C
20220519	9	A
20220519	17	B
20220519	8	C
20220518	4	A
20220518	21	B
20220518	11	C
20220517	10	A
20220517	20	B
20220517	9	C
20220516	7	A
20220516	25	B
20220516	9	C
20220515	6	A
20220515	19	B
20220515	11	C
20220514	9	A
20220514	19	B
20220514	9	C
20220513	5	A
20220513	19	B
20220513	10	C
20220512	9	A
20220512	24	B
20220512	7	C
20220511	10	A
20220511	21	B
20220511	6	C
20220510	11	A
20220510	18	B
20220510	10	C
20220509	8	A
20220509	15	B
20220509	13	C
20220508	7	A
20220508	20	B
20220508	9	C
20220507	11	A
20220507	18	B
20220507	4	C
20220506	10	A
20220506	19	B
20220506	4	C
20220505	8	A
20220505	15	B
20220505	11	C
20220504	11	A
20220504	14	B
20220504	7	C
20220503	6	A
20220503	18	B
20220503	6	C
20220502	6	A
20220502	25	B
20220502	8	C
20220501	6	A
20220501	16	B
20220501	7	C
20220430	4	A
20220430	11	B
20220430	8	C
20220429	10	A
20220429	13	B
20220429	4	C
20220428	8	A
20220428	12	B
20220428	10	C
20220427	9	A
20220427	15	B
20220427	6	C
20220426	7	A
20220426	13	B
20220426	1	C
20220425	8	A
20220425	11	B
20220425	8	C
20220424	9	A
20220424	15	B
20220424	7	C
20220423	10	A
20220423	12	B
20220423	5	C
20220422	5	A
20220422	8	B
20220422	11	C
20220421	5	A
20220421	17	B
20220421	9	C
20220420	11	A
20220420	14	B
20220420	3	C
20220419	7	A
